iter	Passed	Remaining
0	191	5719511	218	324922	392	38884
3	495	36680
4	638	37697
5	745	36516
6	845	35389
7	894	38	841	8	917	296579	1072	31088
10	1099	28877
11	1164	27942
12	1225	27062
13	1297	26514
14	1352	25706
15	1417	25168
16	1510	25153
17	1578	24736
18	1637	24215
19	1732	24249
20	1787	23748
21	1848	23356
22	1923	23164
23	1994	22940
24	204025	203625	2098	22114
26	215727	215627	2216	21532
28	229229	228629	2338	21045
30	2400	20830
31	2460	20609
32	2499	20223
33	2568	20096
34	2632	19929
35	2690	19730
36	2744	19509
37	2802	19325
38	2859	19138
39	2914	18942
40	2978	18813
41	3018	18541
42	3073	18371
43	3116	18132
44	3157	17893
45	3222	17795
46	3268	17593
47	3322	17441
48	3367	17249
49	3412	17060
50	3468	16935
51	3504	16713
52	3547	16530
53	3579	16306
54	3608	16073
55	3632	15827
56	3660	15604
57	3686	15381
58	3714	15171
59	3732	14930
60	3756	14718
61	3779	14507
62	3803	14308
63	3826	14112
64	3849	13917
65	3874	13736
66	3897	13552
67	3919	13372
68	3940	13192
69	3964	13025
70	3984	12853
71	4005	12684
72	4026	12521
73	4045	12355
74	4066	12198
75	4088	12049
76	4108	11898
77	4130	11755
78	4151	11614
79	4171	11471
80	4197	11349
81	4219	11217
82	4239	11083
83	4260	10954
84	4280	10828
85	4300	10702
86	4315	10565
87	4340	10457
88	4367	10353
89	4388	10239
90	4412	10134
91	4433	10023
92	4456	9919
93	4478	9814
94	4496	9703
95	4522	9609
96	4545	9511
97	4572	9425
98	4596	9331
99	4619	9239
100	4641	9145
101	4664	9054
102	4688	8966
103	4708	8873
104	4726	8778
105	4748	8691
106	4764	8594
107	4782	8501
108	4801	8413
109	4821	8327
110	4843	8246
111	4862	8161
112	4893	8098
113	4930	8044
114	4962	7982
115	4994	7921
116	5017	7848
117	5039	7773
118	5058	7693
119	5077	7615
120	5093	7534
121	5114	7462
122	5139	7395
123	5159	7323
124	5180	7253
125	5203	7185
126	5226	7119
127	5248	7052
128	5268	6984
129	5291	6919
130	5314	6856
131	5331	6785
132	5349	6717
133	5372	6655
134	5401	6601
135	5423	6539
136	5445	6478
137	5470	6421
138	5489	6358
139	5515	6302
140	5539	6246
141	5560	6186
142	5581	6127
143	5608	6075
144	5637	6026
145	5674	5985
146	5699	5931
147	5720	5874
148	5745	5822
149	5768	5768
150	5797	5720
151	5821	5667
152	5845	5616
153	5865	5560
154	5886	5506
155	5910	5455
156	5929	5400
157	5950	5347
158	5972	5295
159	5987	5238
160	6007	5186
161	6028	5135
162	6052	5087
163	6077	5040
164	6096	4988
165	6121	4941
166	6146	4895
167	6169	4847
168	6197	4803
169	6254	4782
170	6273	4732
171	6289	4680
172	6310	4632
173	6332	4585
174	6349	4535
175	6374	4491
176	6394	4443
177	6416	4398
178	6439	4352
179	6461	4307
180	6480	4260
181	6501	4215
182	6521	4169
183	6547	4127
184	6569	4083
185	6594	4041
186	6614	3997
187	6637	3953
188	6656	3909
189	6681	3867
190	6700	3824
191	6727	3784
192	6744	3738
193	6765	3696
194	6787	3654
195	6810	3613
196	6837	3574
197	6853	3530
198	6874	3489
199	6896	3448
200	6916	3406
201	6933	3363
202	6956	3324
203	6978	3283
204	7005	3246
205	7031	3208
206	7053	3168
207	7073	3128
208	7091	3087
209	7111	3047
210	7132	3008
211	7153	2969
212	7174	2930
213	7198	2892
214	7217	2853
215	7234	2813
216	7257	2775
217	7280	2738
218	7301	2700
219	7322	2662
220	7348	2626
221	7369	2589
222	7392	2552
223	7418	2516
224	7437	2479
225	7464	2444
226	7491	2409
227	7514	2372
228	7533	2335
229	7557	2300
230	7582	2265
231	7603	2228
232	7630	2194
233	7653	2158
234	7675	2123
235	7698	2087
236	7721	2052
237	7739	2016
238	7761	1980
239	7780	1945
240	7799	1909
241	7820	1874
242	7844	1840
243	7868	1805
244	7889	1771
245	7915	1737
246	7938	1703
247	7961	1669
248	7979	1634
249	8001	1600
250	8023	1566
251	8047	1532
252	8071	1499
253	8094	1465
254	8111	1431
255	8130	1397
256	8154	1364
257	8179	1331
258	8204	1298
259	8228	1265
260	8247	1232
261	8266	1198
262	8280	1164
263	8296	1131
264	8315	1098
265	8330	1064
266	8343	1031
267	8356	997
268	8368	964
269	8381	931
270	8397	898
271	8407	865
272	8416	832
273	8425	799
274	8435	766
275	8445	734
276	8455	702
277	8465	669
278	8471	637
279	8477	605
280	8482	573
281	8488	541
282	8493	510
283	8499	478
284	8504	447
285	8509	416
286	8514	385
287	8520	355
288	8525	324
289	8531	294
290	8537	264
291	8542	234
292	8548	204
293	8553	174
294	8559	145
295	8564	115
296	8570	86
297	8575	57
298	8580	28
299	8586	0
